userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
72337,Content-Based,10,0.0,0.0,0.0,0.0,230,16,20
72337,Content-Based,20,0.0,0.0,0.0,0.0,230,16,20
50020,Content-Based,5,0.2,0.05263157894736842,1.0,0.08333333333333333,92,19,20
50020,Content-Based,10,0.2,0.10526315789473684,1.0,0.13793103448275862,92,19,20
50020,Content-Based,20,0.1,0.10526315789473684,1.0,0.10256410256410256,92,19,20
106629,Content-Based,5,0.0,0.0,0.0,0.0,72,8,20
106629,Content-Based,10,0.0,0.0,0.0,0.0,72,8,20
106629,Content-Based,20,0.0,0.0,0.0,0.0,72,8,20
119121,Content-Based,5,0.0,0.0,0.0,0.0,19,5,20
119121,Content-Based,10,0.0,0.0,0.0,0.0,19,5,20
119121,Content-Based,20,0.0,0.0,0.0,0.0,19,5,20
176755,Content-Based,5,0.0,0.0,0.0,0.0,18,4,20
176755,Content-Based,10,0.0,0.0,0.0,0.0,18,4,20
176755,Content-Based,20,0.0,0.0,0.0,0.0,18,4,20
145884,Content-Based,5,0.0,0.0,0.0,0.0,17,4,20
145884,Content-Based,10,0.0,0.0,0.0,0.0,17,4,20
145884,Content-Based,20,0.0,0.0,0.0,0.0,17,4,20
128931,Content-Based,5,0.0,0.0,0.0,0.0,155,13,20
128931,Content-Based,10,0.0,0.0,0.0,0.0,155,13,20
128931,Content-Based,20,0.0,0.0,0.0,0.0,155,13,20
11447,Content-Based,5,0.0,0.0,0.0,0.0,44,11,20
11447,Content-Based,10,0.0,0.0,0.0,0.0,44,11,20
11447,Content-Based,20,0.0,0.0,0.0,0.0,44,11,20
64777,Content-Based,5,0.0,0.0,0.0,0.0,200,22,20
64777,Content-Based,10,0.0,0.0,0.0,0.0,200,22,20
64777,Content-Based,20,0.0,0.0,0.0,0.0,200,22,20
43135,Content-Based,5,0.0,0.0,0.0,0.0,113,9,20
43135,Content-Based,10,0.1,0.1111111111111111,1.0,0.10526315789473685,113,9,20
43135,Content-Based,20,0.1,0.2222222222222222,1.0,0.13793103448275865,113,9,20
25941,Content-Based,5,0.0,0.0,0.0,0.0,31,7,20
25941,Content-Based,10,0.0,0.0,0.0,0.0,31,7,20
25941,Content-Based,20,0.0,0.0,0.0,0.0,31,7,20
97608,Content-Based,5,0.0,0.0,0.0,0.0,196,16,20
97608,Content-Based,10,0.0,0.0,0.0,0.0,196,16,20
97608,Content-Based,20,0.0,0.0,0.0,0.0,196,16,20
28256,Content-Based,5,0.0,0.0,0.0,0.0,43,5,20
28256,Content-Based,10,0.0,0.0,0.0,0.0,43,5,20
28256,Content-Based,20,0.0,0.0,0.0,0.0,43,5,20
75243,Content-Based,5,0.0,0.0,0.0,0.0,507,50,20
75243,Content-Based,10,0.0,0.0,0.0,0.0,507,50,20
75243,Content-Based,20,0.0,0.0,0.0,0.0,507,50,20
121608,Content-Based,5,0.0,0.0,0.0,0.0,19,3,20
121608,Content-Based,10,0.0,0.0,0.0,0.0,19,3,20
121608,Content-Based,20,0.0,0.0,0.0,0.0,19,3,20
97406,Content-Based,5,0.0,0.0,0.0,0.0,42,7,20
97406,Content-Based,10,0.0,0.0,0.0,0.0,42,7,20
97406,Content-Based,20,0.0,0.0,0.0,0.0,42,7,20
40849,Content-Based,5,0.2,1.0,1.0,0.33333333333333337,30,1,20
40849,Content-Based,10,0.1,1.0,1.0,0.18181818181818182,30,1,20
40849,Content-Based,20,0.05,1.0,1.0,0.09523809523809523,30,1,20
105330,Content-Based,5,0.0,0.0,0.0,0.0,22,2,20
105330,Content-Based,10,0.0,0.0,0.0,0.0,22,2,20
105330,Content-Based,20,0.0,0.0,0.0,0.0,22,2,20
162550,Content-Based,5,0.0,0.0,0.0,0.0,24,3,20
162550,Content-Based,10,0.0,0.0,0.0,0.0,24,3,20
162550,Content-Based,20,0.0,0.0,0.0,0.0,24,3,20
80912,Content-Based,5,0.0,0.0,0.0,0.0,29,5,20
80912,Content-Based,10,0.0,0.0,0.0,0.0,29,5,20
80912,Content-Based,20,0.0,0.0,0.0,0.0,29,5,20
88727,Content-Based,5,0.0,0.0,0.0,0.0,204,38,20
88727,Content-Based,10,0.0,0.0,0.0,0.0,204,38,20
88727,Content-Based,20,0.0,0.0,0.0,0.0,204,38,20
